Id2,Geography, SEX AND AGE - Total population, SEX AND AGE - Total population - Male, SEX AND AGE - Total population - Female, SEX AND AGE - Median age (years), SEX AND AGE - Under 18 years, SEX AND AGE - Under 18 years - Male, SEX AND AGE - Under 18 years - Female, SEX AND AGE - 18 years and over, SEX AND AGE - 18 years and over - Male, SEX AND AGE - 18 years and over - Female, SEX AND AGE - 18 to 34 years, SEX AND AGE - 18 to 34 years - Male, SEX AND AGE - 18 to 34 years - Female, SEX AND AGE - 35 to 64 years, SEX AND AGE - 35 to 64 years - Male, SEX AND AGE - 35 to 64 years - Female, SEX AND AGE - 65 years and over, SEX AND AGE - 65 years and over - Male, SEX AND AGE - 65 years and over - Female, MARITAL STATUS - Male 15 years and over - Never married, RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS - Population 30 years and over, RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state, RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad,"Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Male","Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Female", POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people,YEAR
42,Pennsylvania,12802503,48.9,51.1,40.7,2692020,51.2,48.8,10110483,48.3,51.7,2863397,50.6,49.4,5065893,49.2,50.8,2181193,43.2,56.8,36.9,8041863,1.8,0.5,67818,49421,13.2,2015
44,Rhode Island,1056298,48.4,51.6,39.7,211875,51.1,48.9,844423,47.8,52.2,257360,49.9,50.1,416531,48.5,51.5,170532,42.7,57.3,40.1,654795,3.7,0.7,68326,53112,13.9,2015
45,South Carolina,4896146,48.7,51.3,39.0,1089308,51.5,48.5,3806838,47.9,52.1,1118585,50.5,49.5,1894299,47.8,52.2,793954,44.5,55.5,35.6,2994113,3.5,0.4,57032,41916,16.6,2015
46,South Dakota,858469,50.3,49.7,36.9,209680,51.7,48.3,648789,49.8,50.2,197604,51.4,48.6,316672,50.6,49.4,134513,45.6,54.4,34.3,507496,3.2,0.3,56608,39647,13.7,2015
47,Tennessee,6600299,48.7,51.3,38.7,1493800,50.9,49.1,5106499,48.1,51.9,1498813,49.8,50.2,2591906,48.6,51.4,1015780,44.1,55.9,33.0,4033469,3.0,0.4,59809,42816,16.7,2015
48,Texas,27469114,49.6,50.4,34.4,7208784,51.0,49.0,20260330,49.1,50.9,6765333,51.1,48.9,10273490,49.3,50.7,3221507,44.3,55.7,36.0,15470770,2.0,0.8,66619,46973,15.9,2015
49,Utah,2995919,50.3,49.7,30.6,912333,51.4,48.6,2083586,49.8,50.2,782143,50.7,49.3,993601,50.2,49.8,307842,46.3,53.7,33.2,1526254,3.3,0.8,65245,43706,11.3,2015
50,Vermont,626042,49.3,50.7,43.1,120160,51.4,48.6,505882,48.8,51.2,137961,51.2,48.8,257837,48.8,51.2,110084,45.7,54.3,35.1,404096,3.4,0.7,62040,46833,10.2,2015
51,Virginia,8382993,49.2,50.8,37.8,1869814,51.2,48.8,6513179,48.7,51.3,2000666,50.9,49.1,3325069,48.9,51.1,1187444,44.2,55.8,35.3,5092246,3.4,0.8,74812,55397,11.2,2015
53,Washington,7170351,50.0,50.0,37.5,1611970,51.1,48.9,5558381,49.7,50.3,1719431,51.7,48.3,2802324,49.9,50.1,1036626,45.7,54.3,34.9,4360514,3.3,0.9,74547,55691,12.2,2015
54,West Virginia,1844128,49.3,50.7,42.2,379447,50.5,49.5,1464681,48.9,51.1,382208,50.9,49.1,746112,49.8,50.2,336361,44.9,55.1,31.3,1188749,2.3,0.2,56295,40347,17.9,2015
55,Wisconsin,5771337,49.7,50.3,39.4,1292039,51.3,48.7,4479298,49.2,50.8,1285757,50.8,49.2,2292778,50.1,49.9,900763,44.8,55.2,35.4,3565321,1.9,0.3,61972,46053,12.1,2015
56,Wyoming,586107,50.3,49.7,36.5,139500,50.8,49.2,446607,50.2,49.8,140300,51.3,48.7,223760,50.6,49.4,82547,47.6,52.4,30.9,347860,6.2,0.5,67386,42467,11.1,2015
10420,"Akron, OH Metro Area",704243,48.5,51.5,40.4,147617,51.0,49.0,556626,47.9,52.1,163106,49.3,50.7,279230,48.9,51.1,114290,43.4,56.6,37.4,435292,1.1,0.5,66112,46086,14.2,2015
10580,"Albany-Schenectady-Troy, NY Metro Area",881830,49.2,50.8,39.8,177619,52.4,47.6,704211,48.4,51.6,211694,50.7,49.3,352788,49.0,51.0,139729,43.6,56.4,40.9,548104,1.5,0.7,69703,53644,10.2,2015
10740,"Albuquerque, NM Metro Area",906209,49.2,50.8,37.5,208428,51.2,48.8,697781,48.6,51.4,212920,51.2,48.8,349196,48.6,51.4,135665,44.6,55.4,37.9,547832,2.5,0.4,56879,45943,18.7,2015
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",832327,48.9,51.1,41.5,178537,50.9,49.1,653790,48.3,51.7,174945,50.9,49.1,337521,49.1,50.9,141324,43.2,56.8,34.7,528322,2.4,0.6,66539,49469,9.9,2015
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5709731,48.5,51.5,36.1,1439721,51.3,48.7,4270010,47.6,52.4,1325276,49.2,50.8,2308043,47.9,52.1,636691,43.0,57.0,37.5,3340172,2.8,0.7,70386,50974,13.9,2015
12260,"Augusta-Richmond County, GA-SC Metro Area",590772,48.7,51.3,36.7,140449,51.0,49.0,450323,48.0,52.0,140357,51.0,49.0,222943,48.2,51.8,87023,42.7,57.3,36.9,350278,3.2,0.6,59859,40153,19.1,2015
12420,"Austin-Round Rock, TX Metro Area",2000860,50.0,50.0,34.3,479076,51.1,48.9,1521784,49.6,50.4,544914,50.6,49.4,781014,50.1,49.9,195856,44.7,55.3,40.2,1148267,2.6,0.7,72862,53361,11.7,2015
12540,"Bakersfield, CA Metro Area",882176,51.3,48.7,31.4,257929,50.7,49.3,624247,51.5,48.5,229795,54.0,46.0,305448,51.3,48.7,89004,45.8,54.2,39.8,458648,1.2,0.4,59289,42405,21.9,2015
12580,"Baltimore-Columbia-Towson, MD Metro Area",2797407,48.3,51.7,38.0,618730,51.2,48.8,2178677,47.4,52.6,664971,49.5,50.5,1113017,47.8,52.2,400689,42.7,57.3,38.3,1712710,2.3,0.6,78120,59929,10.6,2015
12940,"Baton Rouge, LA Metro Area",830480,48.7,51.3,34.9,198002,50.5,49.5,632478,48.1,51.9,219170,49.9,50.1,306911,48.5,51.5,106397,43.3,56.7,40.4,474846,2.2,0.2,69570,45159,16.2,2015
13820,"Birmingham-Hoover, AL Metro Area",1145647,47.8,52.2,38.2,267386,50.0,50.0,878261,47.1,52.9,252134,48.7,51.3,455524,48.1,51.9,170603,42.4,57.6,32.9,704551,2.3,0.2,65130,45327,15.7,2015
14260,"Boise City, ID Metro Area",675800,50.0,50.0,35.8,176092,51.3,48.7,499708,49.5,50.5,151991,50.5,49.5,258268,50.2,49.8,89449,45.8,54.2,35.1,394468,4.2,0.5,61309,41333,13.4,2015
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4774321,48.6,51.4,38.7,972898,51.1,48.9,3801423,47.9,52.1,1190680,49.8,50.2,1912705,48.6,51.4,698038,42.9,57.1,40.6,2949530,2.4,1.1,90810,66307,10.2,2015
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",948053,48.7,51.3,40.0,220941,51.1,48.9,727112,48.0,52.0,195502,50.6,49.4,393985,48.4,51.6,137625,42.8,57.2,35.6,588154,2.6,1.0,126524,74846,8.9,2015
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135230,48.4,51.6,40.9,233078,50.9,49.1,902152,47.8,52.2,262113,50.4,49.6,447628,48.6,51.4,192411,42.4,57.6,39.6,710191,0.8,0.6,62115,48763,15.7,2015
15980,"Cape Coral-Fort Myers, FL Metro Area",701982,48.8,51.2,47.5,129113,50.7,49.3,572869,48.4,51.6,126280,50.3,49.7,257570,48.1,51.9,189019,47.5,52.5,29.9,484104,4.0,0.9,54460,43003,16.4,2015
16700,"Charleston-North Charleston, SC Metro Area",744526,48.8,51.2,36.3,166010,50.8,49.2,578516,48.3,51.7,190362,50.8,49.2,285769,48.0,52.0,102385,44.2,55.8,38.3,445176,4.3,0.4,63227,45694,14.2,2015
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2426363,48.5,51.5,37.2,592047,50.9,49.1,1834316,47.8,52.2,544887,49.9,50.1,980915,48.1,51.9,308514,43.0,57.0,35.2,1454213,3.6,0.4,68676,49976,14.1,2015
16860,"Chattanooga, TN-GA Metro Area",546351,48.6,51.4,39.9,116134,52.0,48.0,430217,47.6,52.4,122098,49.6,50.4,216372,48.5,51.5,91747,43.1,56.9,31.7,342569,3.2,0.1,58939,42019,15.3,2015
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9550108,48.9,51.1,37.0,2243050,51.0,49.0,7307058,48.3,51.7,2263782,50.2,49.8,3791993,48.9,51.1,1251283,42.9,57.1,40.0,5729036,1.8,0.6,77554,56035,13.3,2015
17140,"Cincinnati, OH-KY-IN Metro Area",2159329,48.9,51.1,37.7,517854,51.0,49.0,1641475,48.3,51.7,487420,50.2,49.8,852989,48.9,51.1,301066,43.3,56.7,35.8,1293940,2.5,0.5,69864,49758,13.2,2015
17460,"Cleveland-Elyria, OH Metro Area",2060810,48.4,51.6,41.2,447920,51.2,48.8,1612890,47.6,52.4,433511,49.9,50.1,829319,48.4,51.6,350060,42.5,57.5,37.3,1304816,1.5,0.6,68370,48838,14.8,2015
17820,"Colorado Springs, CO Metro Area",697856,50.6,49.4,34.2,171262,51.6,48.4,526594,50.3,49.7,185755,54.3,45.7,256681,49.3,50.7,84158,44.6,55.4,34.1,390946,7.2,1.0,61579,45213,10.6,2015
17900,"Columbia, SC Metro Area",810574,48.6,51.4,36.4,180289,51.4,48.6,630285,47.8,52.2,209619,50.7,49.3,310244,47.2,52.8,110422,44.3,55.7,39.4,472198,4.6,0.5,58191,44122,15.1,2015
18140,"Columbus, OH Metro Area",2021632,49.2,50.8,35.9,484202,51.1,48.9,1537430,48.6,51.4,501854,50.2,49.8,787910,49.3,50.7,247666,43.5,56.5,37.0,1184499,2.2,0.5,68466,50033,14.2,2015
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7102165,49.2,50.8,34.7,1886814,51.0,49.0,5215351,48.5,51.5,1698698,49.7,50.3,2768622,49.0,51.0,748031,43.6,56.4,34.9,4039189,2.2,0.8,71317,51260,13.4,2015
19380,"Dayton, OH Metro Area",800909,48.6,51.4,39.3,177751,51.8,48.2,623158,47.7,52.3,182131,49.8,50.2,305109,48.5,51.5,135918,43.0,57.0,34.2,491363,2.5,0.6,61967,44009,16.2,2015
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",623279,48.5,51.5,47.4,111567,50.4,49.6,511712,48.1,51.9,117894,51.2,48.8,239717,48.0,52.0,154101,45.8,54.2,31.1,425268,2.9,0.8,55153,39355,15.3,2015
19740,"Denver-Aurora-Lakewood, CO Metro Area",2814330,49.8,50.2,36.2,661332,50.9,49.1,2152998,49.4,50.6,687488,51.0,49.0,1129100,49.9,50.1,336410,44.5,55.5,36.1,1692991,3.7,0.6,76184,56169,10.3,2015
19780,"Des Moines-West Des Moines, IA Metro Area",622899,49.1,50.9,35.5,159514,50.9,49.1,463385,48.5,51.5,146002,49.4,50.6,240325,49.5,50.5,77058,43.6,56.4,32.2,365181,2.4,0.3,69853,48964,10.7,2015
19820,"Detroit-Warren-Dearborn, MI Metro Area",4302043,48.6,51.4,39.9,976900,51.1,48.9,3325143,47.8,52.2,915525,49.9,50.1,1761428,48.5,51.5,648190,43.0,57.0,38.1,2669491,1.1,0.5,71221,49551,16.1,2015
20500,"Durham-Chapel Hill, NC Metro Area",552493,48.1,51.9,36.6,116513,52.0,48.0,435980,47.1,52.9,148253,48.1,51.9,212330,47.9,52.1,75397,42.9,57.1,41.3,327223,4.1,1.3,68390,54206,15.9,2015
21340,"El Paso, TX Metro Area",838019,49.1,50.9,32.0,233492,51.0,49.0,604527,48.4,51.6,218346,52.4,47.6,288618,47.5,52.5,97563,42.2,57.8,36.4,443971,2.7,1.4,45995,37430,20.1,2015
22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",515403,49.6,50.4,33.9,133683,50.6,49.4,381720,49.3,50.7,132102,50.6,49.4,184933,49.9,50.1,64685,44.7,55.3,31.0,288140,3.4,0.6,61209,44033,14.3,2015
23420,"Fresno, CA Metro Area",974861,50.0,50.0,31.8,279204,51.1,48.9,695657,49.5,50.5,251159,51.4,48.6,332631,49.7,50.3,111867,44.6,55.4,43.0,513405,0.8,0.4,55241,48935,25.3,2015
24340,"Grand Rapids-Wyoming, MI Metro Area",1038583,49.5,50.5,35.9,255685,51.4,48.6,782898,48.9,51.1,252300,49.9,50.1,391893,49.8,50.2,138705,44.4,55.6,35.1,600020,1.2,0.5,62584,46092,12.9,2015
24660,"Greensboro-High Point, NC Metro Area",752157,47.9,52.1,38.5,169920,50.6,49.4,582237,47.1,52.9,170945,48.5,51.5,296917,48.1,51.9,114375,42.7,57.3,34.0,455928,1.9,0.3,58567,43130,16.1,2015
24860,"Greenville-Anderson-Mauldin, SC Metro Area",874869,48.9,51.1,38.6,197933,51.7,48.3,676936,48.1,51.9,200030,50.3,49.7,341104,48.4,51.6,135802,44.1,55.9,33.6,529659,3.0,0.6,58508,42231,15.7,2015
25420,"Harrisburg-Carlisle, PA Metro Area",565006,49.0,51.0,40.7,121530,51.0,49.0,443476,48.5,51.5,124649,50.8,49.2,224827,49.3,50.7,94000,43.6,56.4,34.1,354103,2.2,0.5,62058,46544,10.5,2015
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1211324,48.8,51.2,40.6,250343,51.2,48.8,960981,48.1,51.9,276702,51.2,48.8,490179,48.5,51.5,194100,42.9,57.1,38.8,759354,1.9,0.8,83568,61290,9.9,2015
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6656946,49.7,50.3,34.1,1787728,51.0,49.0,4869218,49.2,50.8,1631209,50.7,49.3,2566058,49.4,50.6,671951,44.6,55.4,36.5,3744093,1.9,1.3,75496,52663,14.6,2015
26900,"Indianapolis-Carmel-Anderson, IN Metro Area",1988152,48.8,51.2,36.1,499766,51.0,49.0,1488386,48.0,52.0,459239,49.3,50.7,778815,48.8,51.2,250332,43.2,56.8,35.5,1170375,1.9,0.3,67936,49293,13.9,2015
27140,"Jackson, MS Metro Area",578561,47.7,52.3,36.2,144916,51.3,48.7,433645,46.5,53.5,135741,47.8,52.2,221130,47.2,52.8,76774,42.2,57.8,38.9,336839,2.2,0.2,57538,41395,19.4,2015
27260,"Jacksonville, FL Metro Area",1449481,48.7,51.3,38.0,327773,51.3,48.7,1121708,48.0,52.0,337414,50.3,49.7,572514,48.1,51.9,211780,43.9,56.1,34.1,884575,3.3,0.7,64194,45368,14.3,2015
28140,"Kansas City, MO-KS Metro Area",2088269,49.0,51.0,37.1,516274,51.1,48.9,1571995,48.3,51.7,466906,50.0,50.0,820362,49.1,50.9,284727,43.2,56.8,33.4,1253928,3.5,0.4,69161,49252,11.8,2015
28940,"Knoxville, TN Metro Area",861679,48.7,51.3,40.6,179356,50.6,49.4,682323,48.2,51.8,192415,50.0,50.0,339736,48.7,51.3,150172,44.5,55.5,31.1,542979,2.6,0.3,60540,43742,16.8,2015
29460,"Lakeland-Winter Haven, FL Metro Area",650092,49.0,51.0,40.1,147812,51.3,48.7,502280,48.4,51.6,137224,50.2,49.8,237647,48.6,51.4,127409,46.1,53.9,34.5,404731,2.9,0.4,49867,37525,17.2,2015
29540,"Lancaster, PA Metro Area",536624,48.8,51.2,38.8,128701,50.5,49.5,407923,48.3,51.7,117557,49.9,50.1,199608,48.9,51.1,90758,44.7,55.3,31.7,322617,1.3,0.5,62275,43515,10.9,2015
29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2114801,49.9,50.1,37.0,498564,50.9,49.1,1616237,49.7,50.3,499246,50.6,49.4,827166,50.1,49.9,289825,46.8,53.2,38.8,1271917,4.9,0.6,56432,45837,15.1,2015
30460,"Lexington-Fayette, KY Metro Area",500535,49.0,51.0,36.0,110473,51.2,48.8,390062,48.3,51.7,133166,49.7,50.3,192234,48.9,51.1,64662,43.9,56.1,35.9,291177,4.0,0.9,63727,48068,18.7,2015
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",730250,48.4,51.6,36.5,173611,50.9,49.1,556639,47.6,52.4,174555,49.1,50.9,278450,48.1,51.9,103634,43.8,56.2,33.0,433283,2.7,0.4,60550,45181,17.0,2015
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13340068,49.3,50.7,36.4,2995995,51.1,48.9,10344073,48.8,51.2,3396653,50.9,49.1,5239240,49.1,50.9,1708180,43.4,56.6,43.5,7926339,1.1,0.8,69374,55211,15.7,2015
31140,"Louisville/Jefferson County, KY-IN Metro Area",1279335,48.7,51.3,38.9,293421,50.9,49.1,985914,48.1,51.9,281003,49.8,50.2,516683,48.9,51.1,188228,43.3,56.7,33.7,789288,1.9,0.3,63127,45836,13.4,2015
31540,"Madison, WI Metro Area",641385,49.7,50.3,36.0,136433,51.2,48.8,504952,49.3,50.7,174852,50.9,49.1,246234,50.0,50.0,83866,44.1,55.9,39.9,377731,2.8,0.9,71314,51232,10.8,2015
32580,"McAllen-Edinburg-Mission, TX Metro Area",842304,48.7,51.3,29.1,281281,50.5,49.5,561023,47.8,52.2,203186,49.9,50.1,268379,47.3,52.7,89458,44.7,55.3,35.7,411818,0.8,0.6,48130,34535,31.5,2015
32820,"Memphis, TN-MS-AR Metro Area",1343572,47.7,52.3,35.8,340278,50.0,50.0,1003294,46.9,53.1,313903,48.5,51.5,521601,47.4,52.6,167790,42.3,57.7,41.0,778578,2.5,0.4,61736,45098,18.4,2015
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6012331,48.5,51.5,40.9,1236745,51.0,49.0,4775586,47.8,52.2,1313137,50.4,49.6,2417884,48.6,51.4,1044565,42.8,57.2,38.3,3860594,1.6,1.6,62839,45003,16.5,2015
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",1575747,48.6,51.4,37.7,370903,50.7,49.3,1204844,48.0,52.0,362997,49.5,50.5,618844,48.9,51.1,223003,43.0,57.0,39.0,949856,1.6,0.4,69434,51876,14.0,2015
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3524583,49.5,50.5,36.9,845543,51.3,48.7,2679040,48.9,51.1,820858,50.2,49.8,1410414,49.7,50.3,447768,44.1,55.9,35.9,2123735,2.1,0.7,76130,57563,9.3,2015
33700,"Modesto, CA Metro Area",538388,49.6,50.4,34.0,146061,51.6,48.4,392327,48.9,51.1,129210,50.9,49.1,196251,49.1,50.9,66866,44.1,55.9,38.3,299412,0.5,0.3,59729,47467,19.7,2015
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1830298,48.7,51.3,36.5,429481,50.7,49.3,1400817,48.1,51.9,443213,49.4,50.6,730871,48.7,51.3,226733,43.9,56.1,34.0,1088902,3.7,0.6,67193,47455,12.7,2015
35300,"New Haven-Milford, CT Metro Area",859470,48.3,51.7,40.0,178319,50.9,49.1,681151,47.6,52.4,200756,49.9,50.1,343385,48.2,51.8,137010,42.4,57.6,42.4,536671,1.8,0.9,71552,56817,13.7,2015
35380,"New Orleans-Metairie, LA Metro Area",1262888,48.4,51.6,37.6,283811,51.1,48.9,979077,47.7,52.3,301619,48.6,51.4,500758,48.5,51.5,176700,43.6,56.4,40.0,772836,2.4,0.5,62771,44848,18.0,2015
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",20182305,48.4,51.6,38.1,4418082,51.2,48.8,15764223,47.6,52.4,4800106,49.9,50.1,8063973,48.3,51.7,2900144,42.0,58.0,41.2,12404306,1.3,0.8,86361,63966,14.1,2015
35840,"North Port-Sarasota-Bradenton, FL Metro Area",768918,47.8,52.2,51.8,129326,50.4,49.6,639592,47.3,52.7,121109,50.6,49.4,284052,47.1,52.9,234431,45.9,54.1,27.5,553611,4.3,0.6,61188,44253,11.8,2015
36260,"Ogden-Clearfield, UT Metro Area",644030,50.1,49.9,31.3,203055,50.6,49.4,440975,49.8,50.2,153743,51.0,49.0,220513,49.9,50.1,66719,46.8,53.2,30.8,335548,2.9,0.8,62234,43736,8.8,2015
36420,"Oklahoma City, OK Metro Area",1358452,49.3,50.7,34.9,338830,51.3,48.7,1019622,48.6,51.4,341744,50.3,49.7,501958,49.1,50.9,175920,43.6,56.4,34.5,779534,2.5,0.6,63587,43536,14.5,2015
36540,"Omaha-Council Bluffs, NE-IA Metro Area",915557,49.6,50.4,35.4,237481,51.6,48.4,678076,48.9,51.1,215035,50.5,49.5,348696,49.6,50.4,114345,44.0,56.0,35.0,530980,3.4,0.5,64694,48460,12.3,2015
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2387138,48.8,51.2,37.0,531259,50.8,49.2,1855879,48.3,51.7,592545,50.2,49.8,928099,48.4,51.6,335235,44.5,55.5,38.6,1431893,2.7,1.4,57605,44886,15.0,2015
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",850536,49.4,50.6,37.5,202438,50.7,49.3,648098,49.0,51.0,194774,51.6,48.4,333536,49.2,50.8,119788,44.6,55.4,36.4,507438,0.8,0.7,76219,57802,9.6,2015
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",568088,48.8,51.2,47.3,105084,51.2,48.8,463004,48.2,51.8,105352,51.4,48.6,226896,48.2,51.8,130756,45.6,54.4,32.0,386990,4.6,0.6,62458,42771,13.2,2015
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6069875,48.3,51.7,38.6,1343692,51.0,49.0,4726183,47.6,52.4,1420223,49.8,50.2,2405025,48.2,51.8,900935,42.3,57.7,40.2,3711614,2.2,0.6,78707,57835,13.1,2015
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4574531,49.7,50.3,36.3,1127594,51.0,49.0,3446937,49.2,50.8,1073727,51.4,48.6,1702200,49.3,50.7,671010,45.4,54.6,38.4,2689853,3.6,0.6,63359,48139,16.2,2015
38300,"Pittsburgh, PA Metro Area",2353045,48.6,51.4,43.0,452806,51.0,49.0,1900239,48.0,52.0,512347,50.6,49.4,948451,49.1,50.9,439441,42.4,57.6,35.5,1537356,1.8,0.4,70551,48395,12.3,2015
38860,"Portland-South Portland, ME Metro Area",526295,48.6,51.4,43.8,101156,50.8,49.2,425139,48.1,51.9,108339,49.6,50.4,223088,48.9,51.1,93712,44.4,55.6,32.3,348147,2.9,0.4,68976,47883,9.6,2015
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2390244,49.4,50.6,37.8,531446,51.1,48.9,1858798,48.9,51.1,556924,50.2,49.8,975582,49.6,50.4,326292,44.8,55.2,35.8,1484999,4.0,0.6,70942,53601,12.2,2015
39300,"Providence-Warwick, RI-MA Metro Area",1613070,48.5,51.5,40.2,328498,51.4,48.6,1284572,47.8,52.2,379924,49.9,50.1,644991,48.6,51.4,259657,42.8,57.2,39.7,1006660,2.8,0.6,68942,53070,13.4,2015
39340,"Provo-Orem, UT Metro Area",585257,50.5,49.5,24.6,202290,51.7,48.3,382967,49.9,50.1,178937,50.8,49.2,160604,50.0,50.0,43426,45.5,54.5,33.9,244419,4.0,1.4,68793,41823,12.6,2015
39580,"Raleigh, NC Metro Area",1273568,48.8,51.2,36.3,316550,50.8,49.2,957018,48.1,51.9,294574,49.9,50.1,522932,48.4,51.6,139512,43.5,56.5,34.5,751316,3.4,0.5,73684,52892,11.6,2015
40060,"Richmond, VA Metro Area",1271142,48.3,51.7,38.4,279747,51.1,48.9,991395,47.5,52.5,299288,49.4,50.6,511000,47.9,52.1,181107,43.0,57.0,37.3,778893,2.5,0.7,69732,52010,11.8,2015
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4489159,49.8,50.2,34.1,1183801,51.0,49.0,3305358,49.3,50.7,1113518,51.2,48.8,1643703,49.4,50.6,548137,45.2,54.8,39.5,2498492,1.3,0.5,56541,46489,17.5,2015
40380,"Rochester, NY Metro Area",1081954,48.8,51.2,40.1,228209,51.8,48.2,853745,48.0,52.0,253088,50.2,49.8,423195,48.6,51.4,177462,43.6,56.4,37.9,667189,1.7,0.8,64808,49347,13.8,2015
40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2274194,49.0,51.0,37.1,530415,51.1,48.9,1743779,48.3,51.7,542503,50.4,49.6,873832,48.6,51.4,327444,44.2,55.8,37.4,1359390,1.4,0.8,69897,56860,15.0,2015
41180,"St. Louis, MO-IL Metro Area",2812313,48.5,51.5,38.9,635485,51.4,48.6,2176828,47.6,52.4,626159,49.5,50.5,1124465,48.5,51.5,426204,42.6,57.4,34.9,1740935,2.2,0.3,70096,48921,12.2,2015
41620,"Salt Lake City, UT Metro Area",1170266,50.2,49.8,32.3,333098,51.5,48.5,837168,49.8,50.2,303964,50.7,49.3,417760,50.4,49.6,115444,44.9,55.1,35.4,630625,2.7,0.6,65180,44752,10.2,2015
41700,"San Antonio-New Braunfels, TX Metro Area",2381828,49.3,50.7,34.4,613016,50.8,49.2,1768812,48.8,51.2,597081,51.5,48.5,875750,48.6,51.4,295981,44.2,55.8,38.3,1345069,2.3,0.6,58137,43197,14.6,2015
41740,"San Diego-Carlsbad, CA Metro Area",3299521,50.2,49.8,35.5,728038,50.8,49.2,2571483,50.1,49.9,897387,53.4,46.6,1242397,49.7,50.3,431699,44.1,55.9,41.1,1927698,2.2,1.3,68312,54776,13.8,2015
41860,"San Francisco-Oakland-Hayward, CA Metro Area",4656132,49.3,50.7,38.9,939398,50.8,49.2,3716734,48.9,51.1,1122137,50.7,49.3,1927260,49.7,50.3,667337,43.9,56.1,39.8,2968133,1.6,1.2,100643,74911,10.6,2015
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1976836,50.3,49.7,37.2,452154,51.2,48.8,1524682,50.1,49.9,473579,52.3,47.7,804677,50.5,49.5,246426,44.5,55.5,36.6,1205442,1.8,2.0,107090,77456,8.1,2015
42220,"Santa Rosa, CA Metro Area",502146,48.9,51.1,41.2,102140,51.4,48.6,400006,48.3,51.7,110312,50.9,49.1,202078,48.8,51.2,87616,44.0,56.0,35.6,322913,1.3,0.4,73552,56483,11.1,2015
42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",558166,49.0,51.0,42.9,110589,51.5,48.5,447577,48.4,51.6,118411,51.8,48.2,223232,49.6,50.4,105934,42.3,57.7,38.1,360998,1.2,0.3,57440,42033,15.2,2015
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",3733580,50.0,50.0,37.0,817029,51.0,49.0,2916551,49.7,50.3,933185,51.5,48.5,1514016,50.2,49.8,469350,44.3,55.7,36.4,2284457,3.2,1.2,83608,63393,10.2,2015
44060,"Spokane-Spokane Valley, WA Metro Area",546807,49.7,50.3,38.0,122500,51.9,48.1,424307,49.1,50.9,130523,51.0,49.0,206592,49.4,50.6,87192,45.6,54.4,33.7,330699,3.5,0.4,60242,44986,16.3,2015
44140,"Springfield, MA Metro Area",631982,48.0,52.0,38.1,129472,51.5,48.5,502510,47.1,52.9,165325,48.6,51.4,239774,47.8,52.2,97411,43.0,57.0,43.8,376100,2.0,0.6,63539,53558,16.9,2015
44700,"Stockton-Lodi, CA Metro Area",726106,49.8,50.2,34.1,199548,51.4,48.6,526558,49.2,50.8,172934,51.3,48.7,266178,49.5,50.5,87446,44.2,55.8,38.5,402434,1.1,0.5,58857,48802,17.4,2015
