Id2,Geography, SEX AND AGE - Total population, SEX AND AGE - Total population - Male, SEX AND AGE - Total population - Female, SEX AND AGE - Median age (years), SEX AND AGE - Under 18 years, SEX AND AGE - Under 18 years - Male, SEX AND AGE - Under 18 years - Female, SEX AND AGE - 18 years and over, SEX AND AGE - 18 years and over - Male, SEX AND AGE - 18 years and over - Female, SEX AND AGE - 18 to 34 years, SEX AND AGE - 18 to 34 years - Male, SEX AND AGE - 18 to 34 years - Female, SEX AND AGE - 35 to 64 years, SEX AND AGE - 35 to 64 years - Male, SEX AND AGE - 35 to 64 years - Female, SEX AND AGE - 65 years and over, SEX AND AGE - 65 years and over - Male, SEX AND AGE - 65 years and over - Female, MARITAL STATUS - Male 15 years and over - Never married, RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS - Population 30 years and over, RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state, RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad,"Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Male","Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Female", POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people,YEAR
40060,"Richmond, VA Metro Area",1260668,48.7,51.3,37.9,281053,51.4,48.6,979615,47.9,52.1,301105,50.1,49.9,507063,48.3,51.7,171447,42.8,57.2,36.6,767292,2.1,0.5,68476,51809,12.8,2014
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4441890,49.7,50.3,33.8,1188979,51.0,49.0,3252911,49.3,50.7,1103525,51.2,48.8,1624041,49.3,50.7,525345,45.1,54.9,39.0,2452162,1.3,0.5,57316,46055,18.7,2014
40380,"Rochester, NY Metro Area",1083393,48.6,51.4,40.0,229812,50.8,49.2,853581,48.0,52.0,255415,50.3,49.7,425158,48.5,51.5,173008,43.4,56.6,38.1,663811,1.5,0.5,63090,47260,14.1,2014
40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2244397,49.0,51.0,36.8,529634,51.2,48.8,1714763,48.3,51.7,536745,50.4,49.6,865287,48.5,51.5,312731,44.0,56.0,36.7,1332650,1.5,0.6,72470,56798,16.4,2014
41180,"St. Louis, MO-IL Metro Area",2805856,48.3,51.7,39.0,638918,50.9,49.1,2166938,47.5,52.5,628103,49.4,50.6,1121407,48.3,51.7,417428,42.5,57.5,35.2,1726340,1.9,0.3,70523,48288,13.0,2014
41620,"Salt Lake City, UT Metro Area",1153340,50.3,49.7,32.1,330811,51.4,48.6,822529,49.9,50.1,300681,50.7,49.3,411469,50.6,49.4,110379,44.9,55.1,35.1,617797,2.5,0.7,67318,43154,11.4,2014
41700,"San Antonio-New Braunfels, TX Metro Area",2326665,49.2,50.8,34.4,602103,50.6,49.4,1724562,48.7,51.3,579839,51.0,49.0,863656,48.7,51.3,281067,44.1,55.9,37.4,1311444,2.0,0.6,58820,42737,16.7,2014
41740,"San Diego-Carlsbad, CA Metro Area",3263431,50.3,49.7,35.3,728757,51.1,48.9,2534674,50.0,50.0,891523,53.4,46.6,1228519,49.6,50.4,414632,44.0,56.0,39.6,1893337,2.4,1.0,70626,55075,14.7,2014
41860,"San Francisco-Oakland-Hayward, CA Metro Area",4594060,49.3,50.7,38.6,936308,50.8,49.2,3657752,48.9,51.1,1104384,50.5,49.5,1910303,49.7,50.3,643065,43.7,56.3,39.7,2917860,1.5,1.4,96146,73383,10.9,2014
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1952872,50.3,49.7,36.9,453560,51.3,48.7,1499312,50.0,50.0,465846,52.3,47.7,795653,50.4,49.6,237813,44.3,55.7,37.5,1184580,1.8,1.7,101906,74905,8.7,2014
